City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,pont rouge,48.8833,-72.0825,-7.84,85,100,4.65,CA,1705923111
154,vadso,70.0744,29.7487,-5.91,93,100,4.12,NO,1705923111
155,taulaga,-11.0553,-171.0883,29.16,69,35,2.01,AS,1705923111
156,kununurra,-15.7667,128.7333,25.99,100,94,3.09,AU,1705923112
157,hami,42.8,93.45,-9.34,63,0,2.75,CN,1705923112
158,pisco,-13.7,-76.2167,22.03,94,100,0.51,PE,1705922864
159,carutapera,-1.195,-46.02,28.07,80,83,3.23,BR,1705923112
160,bikenibeu village,1.3673,173.1241,29.98,74,40,2.57,KI,1705923113
161,amuntai,-2.4177,115.2494,25.51,93,66,1.32,ID,1705922924
162,molepolole,-24.4066,25.4951,32.08,18,1,1.09,BW,1705923113
163,la tuque,47.4334,-72.7824,-10.86,79,100,3.6,CA,1705923114
164,utrik,11.2278,169.8474,26.02,80,66,9.44,MH,1705923114
165,boa vista,2.8197,-60.6733,24.99,69,0,5.14,BR,1705923115
166,fastiv,50.0767,29.9177,-1.67,78,46,5.67,UA,1705923115
167,ad dilam,23.9915,47.1627,25.23,22,0,4.17,SA,1705923115
168,ak'ordat,15.5486,37.8867,33.85,23,44,3.03,ER,1705923115
169,port alfred,-33.5906,26.891,23.99,79,56,2.68,ZA,1705923116
170,tsiombe,-25.3,45.4833,29.84,62,88,5.46,MG,1705923116
171,lionel town,17.8101,-77.2406,24.94,89,2,2.69,JM,1705923116
172,ulan bator,47.9077,106.8832,-27.93,69,0,1.0,MN,1705922897
173,trairi,-3.2778,-39.2689,29.12,70,78,4.14,BR,1705923117
174,polyarnyy,69.1989,33.4478,-6.99,92,100,6.3,RU,1705923118
175,kapuskasing,49.4169,-82.4331,-4.0,80,100,6.17,CA,1705923118
176,afaahiti,-17.75,-149.2833,23.93,80,84,8.28,PF,1705923118
177,barakani,-12.1356,44.4317,25.56,87,100,10.13,KM,1705923118
178,pazin,45.2403,13.9367,10.05,37,64,1.02,HR,1705923119
179,krasnokholmskiy,55.9873,55.0466,-18.76,97,11,2.48,RU,1705923119
180,el bauga,18.262,33.9081,31.97,26,3,3.77,SD,1705923119
181,prince george,53.9166,-122.753,-6.31,93,100,3.6,CA,1705923120
182,sao vicente,-23.9631,-46.3919,26.66,66,75,1.54,BR,1705923120
183,porto novo,6.4965,2.6036,32.9,31,13,2.52,BJ,1705923120
184,broken hill,-31.95,141.4333,27.17,22,4,3.84,AU,1705923121
185,manismata,-2.4667,111.0333,24.99,93,77,1.46,ID,1705923121
186,la rioja,42.25,-2.5,0.88,58,95,2.39,ES,1705923122
187,oboyan',51.2098,36.2792,-8.26,93,58,2.66,RU,1705923122
188,ust-nera,64.5667,143.2,-40.32,97,94,2.6,RU,1705923122
189,luganville,-15.5333,167.1667,25.62,94,100,3.17,VU,1705923123
190,dhidhdhoo,6.8833,73.1,28.06,78,28,3.82,MV,1705923124
191,buritis,-15.6178,-46.4233,27.44,63,84,1.5,BR,1705923124
192,kone,-21.0595,164.8658,26.48,84,100,1.37,NC,1705923125
193,punta arenas,-53.15,-70.9167,15.01,72,0,14.92,CL,1705922958
194,touros,-5.1989,-35.4608,30.23,65,10,5.02,BR,1705923125
195,edmundston,47.3737,-68.3251,-10.7,77,100,2.57,CA,1705923126
196,turinsk,58.0458,63.696,-10.2,88,100,4.46,RU,1705922932
197,ta`u,-14.2336,-169.5144,28.66,71,86,4.17,AS,1705923126
198,yemva,62.59,50.8594,-15.39,96,85,3.57,RU,1705923126
199,caraballeda,10.6112,-66.8522,27.14,79,24,5.14,VE,1705923127
200,minas de marcona,-15.2119,-75.1103,18.89,87,100,1.73,PE,1705923127
201,ha giang,22.8333,104.9833,10.46,87,100,1.25,VN,1705923086
202,hermanus,-34.4187,19.2345,19.02,76,100,8.6,ZA,1705923112
203,mahanoro,-19.9,48.8,28.78,70,46,3.36,MG,1705923128
204,severo-yeniseyskiy,60.3725,93.0408,-15.24,87,97,2.24,RU,1705923128
205,severnoye,56.3491,78.3619,-15.01,84,98,4.02,RU,1705923129
206,velyka bahachka,49.7912,33.7226,-3.68,89,14,3.18,UA,1705923130
207,greenville,35.6127,-77.3663,-6.99,100,0,0.0,US,1705923130
208,kiama,-34.6833,150.8667,21.11,81,73,0.45,AU,1705922969
